1.38.0.1,1.38.1.254
84.64.128.1,84.64.255.254
84.65.0.1,84.65.15.254
84.65.16.1,84.65.31.254
84.65.32.1,84.65.63.254
84.65.64.1,84.65.127.254
84.65.128.1,84.65.255.254
84.66.0.1,84.66.255.254
84.67.0.1,84.67.127.254
84.67.128.1,84.67.255.254
84.68.0.1,84.68.255.254
84.68.0.1,84.69.127.254
84.69.0.1,84.69.191.254
84.69.128.1,84.69.223.254
84.69.192.1,84.69.239.254
84.69.224.1,84.69.255.254
84.69.240.1,84.70.255.254
84.70.0.1,84.71.127.254
84.71.0.1,84.71.159.254
84.71.128.1,84.71.191.254
84.71.160.1,84.71.223.254
84.71.192.1,84.71.231.254
84.71.224.1,84.71.235.254
84.71.232.1,84.71.239.254
84.71.236.1,84.71.247.254
84.71.240.1,84.71.255.254
84.71.248.1,84.71.255.254
112.79.0.1,112.79.15.254
112.79.0.1,112.79.31.254
112.79.16.1,112.79.33.254
112.79.32.1,112.79.35.254
112.79.35.1,112.79.39.254
112.79.36.1,112.79.47.254
112.79.40.1,112.79.63.254
112.79.48.1,112.79.95.254
112.79.64.1,112.79.111.254
112.79.96.1,112.79.119.254
112.79.112.1,112.79.123.254
112.79.120.1,112.79.125.254
112.79.124.1,112.79.191.254
112.79.128.1,112.79.255.254
112.79.192.1,112.79.255.254
114.31.128.1,114.31.191.254
123.63.64.1,123.63.79.254
123.63.80.1,123.63.95.254
123.63.96.1,123.63.97.254
123.63.97.1,123.63.98.254
123.63.98.1,123.63.99.126
123.63.99.1,123.63.99.254
123.63.99.129,123.63.101.254
123.63.101.1,123.63.102.254
123.63.102.1,123.63.103.126
123.63.103.1,123.63.103.254
123.63.103.129,123.63.103.254
123.63.104.1,123.63.105.254
123.63.105.1,123.63.106.254
123.63.106.1,123.63.107.254
123.63.107.1,123.63.109.254
123.63.109.1,123.63.110.254
123.63.110.1,123.63.111.254
123.63.111.1,123.63.111.254
123.63.112.1,123.63.112.62
123.63.112.65,123.63.112.126
123.63.112.129,123.63.112.190
123.63.112.193,123.63.112.254
123.63.113.65,123.63.113.126
123.63.113.129,123.63.113.190
123.63.113.193,123.63.113.254
123.63.128.1,123.63.135.254
123.63.136.1,123.63.137.254
123.63.136.1,123.63.139.254
123.63.138.1,123.63.139.254
123.63.140.1,123.63.140.254
123.63.140.1,123.63.141.254
123.63.141.1,123.63.141.254
123.63.142.1,123.63.143.254
123.63.144.1,123.63.159.254
123.63.160.1,123.63.175.254
123.63.176.1,123.63.191.254
123.63.192.1,123.63.223.254
123.63.192.1,123.63.239.254
123.63.232.1,123.63.255.254
123.63.240.1,123.63.255.254
203.88.0.1,203.88.15.254
203.88.12.1,203.88.17.254
203.88.17.1,203.88.19.254
203.88.18.1,203.88.21.254
203.88.20.1,203.88.23.254
203.88.23.1,203.88.31.254
203.88.24.1,203.88.31.254
